"Year","Accidents","Fatalities","FatalAccidents","Departures","AccidentRate","State"
2010,1,0,0,112115,8.919413102617847,"EGY"
2010,1,0,0,15449,64.72910868017347,"MOZ"
2010,3,0,0,715855,4.19079282815654,"FRA"
2010,1,0,0,11202,89.26977325477593,"MDG"
2010,2,0,0,11956,167.2800267648043,"EST"
2010,1,0,0,33692,29.680636352843404,"TZA"
2010,1,0,0,76689,13.03967974546545,"PRI"
2010,4,0,0,957962,4.1755309709570945,"DEU"
2010,2,0,0,626299,3.193362914518465,"AUS"
2010,2,0,0,70346,28.430898700707928,"CZE"
2010,3,0,0,665089,4.510674511230828,"ITA"
2010,2,0,0,857308,2.3328838643754635,"BRA"
2010,2,0,0,769145,2.6002899323274544,"JPN"
2010,1,0,0,312988,3.195010671335642,"NOR"
2010,1,0,0,2858,349.8950314905528,"SOM"
2010,1,68,1,22706,44.04122258433894,"CUB"
2010,2,103,1,30165,66.30200563567048,"LBY"
2010,2,164,2,61782,32.37188825224175,"PAK"
2010,1,8,1,1527,654.8788474132285,"SUR"
2010,21,2,1,9361112,2.243323229120643,"USA"
2010,1,158,1,591937,1.6893689700086327,"IND"
2010,1,2,1,209027,4.78407095734044,"ARE"
2010,1,0,0,67754,14.759276205094903,"UKR"
2010,2,0,0,144073,13.881851561361254,"HKG"
2010,2,0,0,1002607,1.994799557553458,"GBR"
2010,2,3,1,215328,9.288155743795512,"PHL"
2010,7,0,0,467733,14.965803139825498,"IDN"
2010,3,42,1,2392756,1.2537843390634065,"CHN"
2010,2,2,1,22076,90.59612248595761,"SDN"
2010,5,0,0,1018464,4.90935369340497,"CAN"
2010,2,0,0,77728,25.73075339645945,"NGA"
2010,6,5,1,487093,12.317976238623835,"MEX"
2010,1,0,0,13499,74.07956144899622,"AGO"
2010,3,2,1,265547,11.297435105649848,"COL"
2010,1,0,0,223444,4.475394282236265,"THA"
2010,1,0,0,2194,455.7885141294439,"GIN"
2010,2,0,0,85559,23.37568227772648,"PER"
2010,8,14,2,461300,17.3422935183178,"RUS"
2010,3,0,0,129481,23.169422540758877,"IRN"
2010,1,0,0,54906,18.21294576184752,"BHS"
2010,5,52,2,18186,274.93676454415487,"AFG"
2010,6,22,2,14233,421.5555399423874,"COD"
2010,1,0,0,9594,104.23181154888472,"GAB"
2011,1,0,0,126172,7.92568874235171,"FIN"
2011,1,19,1,78891,12.675717128696556,"NPL"
2011,2,0,0,6914,289.2681515765114,"GAB"
2011,1,0,0,212896,4.697129114685104,"SWE"
2011,1,0,0,204035,4.901119905898498,"SAU"
2011,1,0,0,9363,106.80337498664957,"HTI"
2011,2,14,1,28499,70.17790097898173,"HND"
2011,1,0,0,739977,1.3513933541177632,"JPN"
2011,2,16,1,1005825,1.9884174682474585,"BRA"
2011,2,0,0,111925,17.86910877819969,"POL"
2011,2,6,1,98914,20.21958468973047,"IRL"
2011,1,0,0,108844,9.187460953290948,"EGY"
2011,1,0,0,21123,47.341760166643,"GRL"
2011,2,78,1,141668,14.11751418810176,"IRN"
2011,1,0,0,148786,6.721062465554555,"SGP"
2011,1,0,0,67281,14.86303711300367,"ECU"
2011,1,0,0,142906,6.997606818468084,"PRT"
2011,2,0,0,663628,3.0137366114751036,"ITA"
2011,2,110,2,8331,240.06721882126996,"COG"
2011,1,0,0,10242,97.63718023823472,"KGZ"
2011,1,28,1,37700,26.52519893899204,"PNG"
2011,1,0,0,252089,3.966852976528131,"THA"
2011,4,0,0,994280,4.0230116265036004,"GBR"
2011,1,0,0,48673,20.545271505762948,"TZA"
2011,1,0,0,0,null,
2011,1,9,1,24109,41.478286117217635,"AFG"
2011,1,0,0,156021,6.409393607270816,"DNK"
2011,4,43,2,557398,7.17620084750932,"IDN"
2011,1,0,0,221911,4.506311088679696,"NZL"
2011,1,0,0,321620,3.109259374417014,"NOR"
2011,1,0,0,121839,8.20755258989322,"BEL"
2011,9,65,4,532585,16.898711003877317,"RUS"
2011,1,0,0,47352,21.118432167595877,"ISR"
2011,1,0,0,150903,6.62677349025533,"AUT"
2011,3,8,1,62183,48.24469710371002,"BOL"
2011,1,2,1,12751,78.42522155125089,"COD"
2011,4,0,0,1025864,3.8991523242847004,"CAN"
2011,2,0,0,76758,26.05591599572683,"VEN"
2011,3,0,0,848312,3.536434707984798,"ESP"
2011,1,2,1,276577,3.615629643824324,"KOR"
2011,1,0,0,22446,44.55136772698922,"LUX"
2011,1,0,0,268887,3.7190343899110037,"MYS"
2011,1,0,0,2940,340.13605442176873,"GUY"
2011,3,0,0,679551,4.414679692914881,"IND"
2011,1,0,0,145667,6.864972849032382,"VNM"
2011,4,0,0,951711,4.202956569799025,"DEU"
2011,2,0,0,298574,6.6985069028113635,"TUR"
2011,1,0,0,21860,45.74565416285453,"SDN"
2011,8,0,0,725697,11.023884624023525,"FRA"
2011,1,22,1,126343,7.914961652010796,"ARG"
2011,2,0,0,2584562,0.7738255069911265,"CHN"
2011,30,0,0,9364273,3.2036656769831464,"USA"
2012,1,0,0,65067,15.36877372554444,"ROU"
2012,1,0,0,14825,67.45362563237774,"GTM"
2012,2,0,0,729779,2.7405557024797917,"FRA"
2012,2,0,0,96322,20.763688461618322,"IRL"
2012,1,0,0,45880,21.79598953792502,"ISR"
2012,1,0,0,46598,21.46014850422765,"TZA"
2012,1,0,0,27463,36.4126278993555,"HND"
2012,1,0,0,107380,9.312721177127957,"CHL"
2012,1,4,1,85206,11.736262704504378,"KEN"
2012,4,0,0,622638,6.424278633812905,"IDN"
2012,1,12,1,21781,45.911574307883015,"GHA"
2012,1,0,0,5892,169.72165648336727,"SVK"
2012,1,0,0,345254,2.896418289143645,"TUR"
2012,1,0,0,21517,46.47488032718316,"AFG"
2012,2,0,0,203668,9.819902979358565,"SWE"
2012,1,0,0,329143,3.0381931257842334,"NOR"
2012,2,34,2,68867,29.041485762411604,"NPL"
2012,1,0,0,765743,1.305921177209586,"ESP"
2012,1,0,0,21124,47.33951903048665,"SDN"
2012,3,1,1,637777,4.703838489001642,"ITA"
2012,4,0,0,1050690,3.8070220521752374,"BRA"
2012,6,0,0,766881,7.8238996663106795,"JPN"
2012,3,41,2,556171,5.394024499659277,"RUS"
2012,1,0,0,13291,75.23888345496952,"SYR"
2012,1,0,0,120066,8.328752519447637,"BEL"
2012,1,2,1,15706,63.66993505666624,"URY"
2012,4,0,0,923948,4.3292479663357675,"DEU"
2012,2,0,0,76521,26.13661609231453,"VEN"
2012,6,0,0,1050669,5.710647216202248,"CAN"
2012,9,0,0,982158,9.163495079203143,"GBR"
2012,1,0,0,10079,99.21619208254788,"MNG"
2012,24,0,0,9121365,2.631185135119579,"USA"
2012,4,127,1,72652,55.05698397841766,"PAK"
2012,1,163,1,82461,12.126944858781727,"NGA"
2012,2,2,1,37984,52.65374894692502,"MMR"
2013,1,33,1,0,null,"MAN"
2013,2,0,0,194422,10.286901688080567,"ZAF"
2013,1,0,0,244382,4.091954399260175,"SAU"
2013,1,21,1,56552,17.682840571509406,"KAZ"
2013,3,0,0,712458,4.210774529867024,"IDN"
2013,1,0,0,25515,39.19263178522438,"LKA"
2013,1,49,1,18488,54.0891389009087,"LAO"
2013,3,0,0,595544,5.037411173649638,"ITA"
2013,2,0,0,893505,2.238375834494491,"DEU"
2013,1,0,0,41765,23.943493355680594,"OMN"
2013,1,0,0,625604,1.598455252843652,"IND"
2013,1,0,0,62641,15.963985249277629,"BHS"
2013,2,0,0,99496,20.101310605451477,"IRL"
2013,4,0,0,700423,5.71083473843663,"ESP"
2013,3,0,0,141934,21.136584609748194,"ARG"
2013,1,0,0,16832,59.4106463878327,"ZMB"
2013,2,0,0,991034,2.0180942328921105,"GBR"
2013,1,0,0,39833,25.104812592573996,"TUN"
2013,1,0,0,220808,4.528821419513786,"CHE"
2013,1,0,0,56833,17.595411116780742,"CZE"
2013,2,0,0,18347,109.00964735379081,"SDN"
2013,7,5,1,1053676,6.643408410175424,"CAN"
2013,2,0,0,256179,7.807041170431612,"PHL"
2013,2,0,0,1001865,1.9962769435003718,"BRA"
2013,3,0,0,714913,4.196314796345849,"FRA"
2013,1,0,0,44775,22.33389168062535,"PNG"
2013,1,0,0,81203,12.314815955075552,"KEN"
2013,1,0,0,12594,79.40289026520566,"GUM"
2013,3,0,0,3093705,0.9697110745853273,"CHN"
2013,1,0,0,514592,1.9432871090106336,"MEX"
2013,2,8,1,56900,35.1493848857645,"BOL"
2013,1,0,0,0,null,"TGA"
2013,1,0,0,7280,137.36263736263737,"COD"
2013,1,50,1,588810,1.6983407211154702,"RUS"
2013,23,7,3,9000283,2.555475200057598,"USA"
2013,3,0,0,328190,9.14104634510497,"THA"
2013,1,0,0,62813,15.920271281422636,"NPL"
2013,2,0,0,46977,42.57402558698938,"MMR"
2014,2,0,0,221362,9.034974385847615,"CHE"
2014,1,0,0,4465,223.96416573348264,"SSD"
2014,1,0,0,327725,3.051338774887482,"KOR"
2014,1,0,0,606649,1.6483996511986339,"ITA"
2014,1,0,0,66778,14.97499176375453,"PAK"
2014,1,298,1,62945,15.886885376122011,"UKR"
2014,1,0,0,106507,9.389054240566347,"IRL"
2014,1,0,0,270165,3.7014417115466474,"SAU"
2014,1,0,0,20749,48.19509373945732,"MDV"
2014,1,6,1,9510,105.15247108307045,"COD"
2014,3,0,0,692938,4.329391662746162,"IND"
2014,1,0,0,668015,1.4969723733748495,"AUS"
2014,1,0,0,10145,98.57072449482504,"TJK"
2014,2,0,0,693746,2.8828995050061548,"FRA"
2014,2,0,0,17865,111.95074167366359,"AFG"
2014,1,0,0,209721,4.768239708946648,"SWE"
2014,3,0,0,48614,61.71061834039577,"TZA"
2014,1,0,0,924454,1.0817195879946433,"JPN"
2014,2,0,0,987325,2.0256754361532425,"BRA"
2014,1,0,0,147798,6.765991420722878,"PRT"
2014,1,0,0,5834,171.40898183064792,"GAB"
2014,2,0,0,281095,7.115032284458991,"ARE"
2014,2,0,0,894651,2.2355085949716704,"DEU"
2014,1,0,0,21097,47.400104280229414,"JAM"
2014,2,0,0,147346,13.573493681538691,"ARG"
2014,2,0,0,364566,5.485975104644975,"THA"
2014,2,0,0,64068,31.21683211587688,"BHS"
2014,2,38,1,132942,15.044154593732605,"IRN"
2014,2,162,1,758528,2.636685791427607,"IDN"
2014,1,0,0,70775,14.129282938890851,"PAN"
2014,1,0,0,147719,6.769609867383343,"DNK"
2014,1,118,1,4256,234.9624060150376,"MLI"
2014,1,0,0,69715,14.344115326687227,"BOL"
2014,1,0,0,139847,7.150671805616137,"AUT"
2014,1,0,0,267141,3.743341531251287,"COL"
2014,1,0,0,7977,125.36041118214868,"SLB"
2014,25,0,0,8811371,2.8372429216747315,"USA"
2014,2,48,1,3293648,0.6072294307102641,"CHN"
2014,1,0,0,43833,22.81386170237036,"BGD"
2014,1,0,0,41786,23.931460297707368,"DOM"
2014,1,2,1,236021,4.236911122315387,"NLD"
2014,2,239,1,0,null,
2014,5,0,0,1061616,4.709800907296047,"CAN"
2014,6,0,0,1000125,5.999250093738283,"GBR"
2014,3,0,0,705527,4.2521405984462675,"ESP"
2015,1,0,0,433712,2.305677500276681,"THA"
2015,1,0,0,16354,61.147119970649385,"KGZ"
2015,1,0,0,257607,3.8818820917133463,"PHL"
2015,1,0,0,73674,13.57330944430871,"MMR"
2015,1,0,0,171018,5.847337707141938,"SGP"
2015,2,0,0,22963,87.0966337151069,"GHA"
2015,1,0,0,0,null,
2015,1,0,0,11989,83.40979230961715,"MDG"
2015,1,0,0,742010,1.3476907319308364,"ESP"
2015,1,0,0,180580,5.537711817477018,"GRC"
2015,2,0,0,628308,3.1831522119724722,"RUS"
2015,1,0,0,112659,8.876343656521005,"IRL"
2015,1,0,0,55182,18.1218513283317,"NPL"
2015,1,0,0,127426,7.847691993784628,"PER"
2015,1,0,0,989641,1.0104674321294287,"JPN"
2015,1,0,0,567038,1.7635502382556372,"MEX"
2015,1,0,0,119124,8.39461401564756,"IRN"
2015,3,43,1,3478719,0.8623864129295871,"CHN"
2015,2,0,0,219872,9.096201426284384,"ZAF"
2015,2,0,0,495526,4.036115158437701,"TUR"
2015,1,0,0,75846,13.184610922131688,"PAK"
2015,1,0,0,315146,3.1731324528948486,"ARE"
2015,1,0,0,153540,6.512960791976032,"ARG"
2015,4,1,1,835343,4.788452168749843,"IND"
2015,5,54,1,825697,6.055490088979371,"IDN"
2015,1,0,0,130305,7.67430259775143,"POL"
2015,1,0,0,15550,64.30868167202573,"LAO"
2015,1,0,0,13532,73.89890629618682,"COD"
2015,4,0,0,910980,4.390875760170366,"DEU"
2015,24,0,0,8716827,2.7532954365160625,"USA"
2015,3,0,0,617752,4.856317745632552,"ITA"
2015,4,0,0,698392,5.727442467840411,"AUS"
2015,1,0,0,12236,81.72605426610004,"GEO"
2015,6,2,1,1065854,5.6292888144154825,"CAN"
2015,2,150,1,695942,2.8738027019493004,"FRA"
2015,6,0,0,1028252,5.835145470176571,"GBR"
2015,1,224,1,114917,8.701932699252504,"EGY"
2016,1,0,0,55489,18.02158986465786,"ECU"
2016,1,0,0,216655,4.615633149477279,"TWN"
2016,1,66,1,0,null,
2016,1,1,1,3792,263.71308016877634,"SOM"
2016,1,0,0,13077,76.47013841095053,"CYM"
