Name,X2011,Y2011,R2011
IDN,21,2,243
EGY,2,1,224
RUS,16,7,185
ETH,2,1,157
FRA,7,1,150
CUB,1,1,112
IRN,6,1,66
NPL,4,2,53
PAK,4,1,47
CHN,9,1,43
KGZ,2,1,39
COD,4,1,27
SSD,2,1,20
KAZ,2,1,12
USA,125,4,7
CAN,38,2,3
BGD,2,1,3
SWE,1,1,2
ARE,2,1,1
IND,11,1,1
SOM,1,1,1
GUY,1,1,1
UGA,1,1,1
FSM,1,1,1
THA,10,0,0
PHL,5,0,0
MMR,6,0,0
SGP,2,0,0
GHA,3,0,0
MDG,1,0,0
ESP,11,0,0
