Name,X2011,Y2011,R2011
CAN,36,2,0
IDN,19,2,0
GBR,19,0,0
RUS,9,7,0
ESP,11,0,0
IND,10,1,0
DEU,11,0,0
THA,10,0,0
JPN,9,0,0
CHN,8,1,0
AUS,9,0,0
ITA,8,0,0
FRA,6,1,0
MMR,6,0,0
GRC,6,0,0
IRN,5,1,0
NLD,6,0,0
PHL,5,0,0
MEX,5,0,0
TUR,5,0,0
BRA,5,0,0
COL,5,0,0
IRL,4,0,0
NPL,2,2,0
PAK,3,1,0
COD,3,1,0
BOL,4,0,0
GHA,3,0,0
PER,3,0,0
ZAF,3,0,0
